local,resolution,features,stage,seed,model,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson,Spearman
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,222,xgb_zip,0.1622060595243407,0.4027481341041082,0.0449630389838323,0.2949618626373959,95.54168839107884,4.810157973642962,1.527798236907259,0.5470386903670514,0.312347746644853
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,241,rf,0.1485981586423334,0.3854843169862211,0.0479957758838665,0.3541094007712946,80.70567117247319,5.779080872631588,1.0609272039983333,0.5966121512158579,0.376693091985245
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,241,xgb_poisson,0.1472892775868993,0.3837828521272143,0.0472937396814064,0.3597985289336982,80.54477430920142,5.6982493023036,1.0596724938122717,0.6016085150641036,0.3810840518526761
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,241,xgb_zip,0.1632427528148379,0.4040331085626992,0.0450805408058542,0.2904558145360375,95.85212466442884,4.821854352057255,1.544082568006128,0.5430182719893589,0.3066776656507493
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,248,rf,0.1479898264245236,0.3846944585310837,0.0480002379783737,0.3567535523831391,80.73159292894275,5.778107703124051,1.0593984082914063,0.5987978887551829,0.3772506735332082
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,248,xgb_poisson,0.1475257685957788,0.3840908337825557,0.0474826350155429,0.3587706069134457,80.31017321040093,5.720466976584283,1.055416952756832,0.6006102881072674,0.3818425682637478
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,248,xgb_zip,0.1606963842160843,0.4008695351558713,0.0459848586259723,0.3015237547792592,94.52906252956392,4.867643986766926,1.4504636140718743,0.553917703707277,0.3299840213503385
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,254,rf,0.1479139708179019,0.38459585387508,0.0479898264245236,0.3570832632198237,80.65849217346397,5.787399049137123,1.0575055332241938,0.5990922264842578,0.3772692858880006
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,254,xgb_poisson,0.1482635015542962,0.3850499987719727,0.0474439635298142,0.3555640074037274,80.59172617775019,5.721820506416815,1.0628982728655545,0.5982117013176315,0.3787416012283771
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,254,xgb_zip,0.1618505793286035,0.4023065738073434,0.044964526348668,0.2965069781269577,95.45369124954316,4.8120514001106205,1.523365902537235,0.5484900485528709,0.3136273182201381
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,75,rf,0.1480151116267309,0.3847273211337231,0.0479660285871521,0.3566436487709108,80.88824659806423,5.77039789520015,1.0616382907569435,0.5987080983642759,0.3764760530248826
