ID_UNIDADE,TOTAL_CASES,LAT,LNG,DIST_KM,LEVEL
7052049,11,-22.89296,-43.2481,17.093082056402118,3
6784720,9,-22.9902,-43.31906,17.16276980910252,3
0265233,4,-22.9902,-43.31906,17.16276980910252,3
5955211,267,-22.87417,-43.24335,17.275082749880504,3
3013146,55,-22.90461,-43.57338,17.276939228044522,3
2277751,84,-22.75254,-43.29092,17.290819694673385,3
9067078,149,-22.92648,-43.25669,17.421371774948785,3
6421482,531,-22.89045,-43.24279,17.572538091652124,3
6808077,175,-22.89045,-43.24279,17.572538091652124,3
6514022,63,-22.89045,-43.24279,17.572538091652124,3
2280167,54,-22.83553,-43.24215,17.578695053128527,3
5476607,9,-22.86573,-43.23922,17.6468162840788,3
6753469,29,-22.89427,-43.24197,17.737543644683736,3
6023975,44,-22.90123,-43.24312,17.798525794868425,3
2296616,69,-22.84154,-43.23872,17.830146334241135,3
5598435,40,-22.9033,-43.24307,17.86202656585803,3
2269384,19,-22.92704,-43.2521,17.875431694847784,3
2269392,1,-22.90592,-43.24343,17.90463696925642,3
2280280,85,-22.96391,-43.27608,17.944812767439952,3
2296705,105,-22.71925,-43.32821,17.958623057818862,3
5358612,71,-22.9355,-43.25541,17.97733850453812,3
2270242,1,-22.90459,-43.24022,18.18133227326525,3
9079939,217,-22.88854,-43.23625,18.195228850212327,3
0379077,11,-22.84319,-43.23437,18.251175058643895,3
9614133,7,-22.92251,-43.24343,18.498964299933714,3
2778696,91,-22.9395,-43.25164,18.525505486991264,3
2269341,61,-22.90843,-43.23786,18.530350660454186,3
7036914,98,-22.89173,-43.59016,18.62306644881866,3
5621720,44,-22.89173,-43.59016,18.62306644881866,3
9214763,9,-23.00763,-43.32206,18.657726807576864,3
7642415,4,-23.00763,-43.32206,18.657726807576864,3
4184432,1,-23.00763,-43.32206,18.657726807576864,3
5328942,1,-23.00763,-43.32206,18.657726807576864,3
2269783,13,-22.91433,-43.23716,18.79383913737234,3
7518919,710,-22.92175,-43.23594,19.18494945476136,3
5955661,19,-22.93224,-43.2403,19.214639733765342,3
5671388,12,-22.93224,-43.2403,19.214639733765342,3
7065515,4,-22.93224,-43.2403,19.214639733765342,3
5380340,2,-22.93224,-43.2403,19.214639733765342,3
7333544,2,-22.93224,-43.2403,19.214639733765342,3
7505159,2,-22.93224,-43.2403,19.214639733765342,3
7156405,1,-22.93224,-43.2403,19.214639733765342,3
2708213,96,-23.02158,-43.48252,19.244165192773185,3
6029922,95,-22.89943,-43.59469,19.249000563159736,3
3134172,10,-23.01943,-43.48834,19.259185240549343,3
9199233,3,-23.01943,-43.48834,19.259185240549343,3
9384731,1,-23.01943,-43.48834,19.259185240549343,3
2277298,171,-22.87792,-43.22403,19.283511475455573,3
4030990,16,-22.87792,-43.22403,19.283511475455573,3
2298724,3,-22.87792,-43.22403,19.283511475455573,3
3046303,17,-22.90146,-43.22791,19.3174428835915,3
5160308,15,-22.92047,-43.23267,19.450652903521494,3
2270714,1,-22.89432,-43.22472,19.47126952023217,3
6559727,126,-22.91243,-43.59328,19.47832965260258,3
2280787,105,-22.94239,-43.24276,19.479949509993496,3
2269538,381,-22.90818,-43.59559,19.57422284127101,3
3048721,2,-22.91623,-43.22977,19.578864337833927,3
3567540,141,-22.91109,-43.59551,19.65464713719798,3
2269376,391,-22.92835,-43.23372,19.66373078293563,3
9057706,85,-22.90121,-43.22422,19.679209423638866,3
2270250,70,-22.90121,-43.22422,19.679209423638866,3
0241873,1,-22.92555,-43.23232,19.681725296597037,3
9048839,1,-22.92555,-43.23232,19.681725296597037,3
3607402,5,-22.92771,-43.23192,19.807942687998633,3
2269724,19,-22.81239,-43.22499,19.863781352528765,3
2273519,79,-22.92941,-43.2318,19.890355782297647,3
0032247,3,-22.92941,-43.2318,19.890355782297647,3
9834338,2,-22.88869,-43.21922,19.920398095742215,3
9377476,1,-22.91343,-43.22522,19.92987706459166,3
