ID_UNIDADE,LAT,LNG,Y_MEAN,N_OBS,coef_Intercept,t_Intercept,coef_TEM_AVG,t_TEM_AVG,coef_RAIN,t_RAIN
2286041,-22.77105,-43.41992,0.8095238095238095,21,-0.38586602323820196,-8.219774364963449,0.06782043029970855,1.4707239688966873,-0.12276713979854563,-1.3312048967567272
2286068,-22.7949,-43.42527,0.0,21,-0.38912706824618587,-8.235797415965926,0.06696345307141878,1.4286522123979921,-0.22032238768863036,-2.655204377966346
2286106,-22.77845,-43.40261,0.0,21,-0.38520363902426663,-8.203364102738107,0.06709994897097506,1.5037509500970385,-0.15294742091984653,-1.7547990082491374
2289474,-22.77079,-43.39525,0.0,21,-0.38380889221686143,-8.188151886776152,0.06905674190633741,1.572395686174342,-0.12541090162583657,-1.578703225947369
2289571,-22.74772,-43.40424,0.14285714285714285,21,-0.38266408384528733,-8.188462882352088,0.07077019985885503,1.5707918486478107,-0.08187399539492972,-1.0009628670464936
2290642,-22.82364,-43.42186,0.0,21,-0.39362376214526557,-8.235512525284935,0.06505261350540814,1.3705191644724204,-0.391765235433699,-4.758594686066117
2291266,-22.83029,-43.32787,1.3333333333333333,21,-0.3811026962352369,-8.134390282870644,0.04569523906146381,0.863682720785165,-0.04586633758686043,-0.7080707866127182
2293900,-22.80778,-43.41962,0.0,21,-0.3906161204419892,-8.236492073610675,0.06500489785942304,1.398089339749973,-0.29518105967759883,-3.8259740317984514
2295032,-22.85207,-43.25199,0.09523809523809523,21,-0.376288132475175,-8.053970110730882,0.07716998668573427,1.5061075415003427,-0.03341819983283867,-0.5585749199083189
2295407,-22.90405,-43.55427,0.0,21,-0.39767912012201745,-8.438153077617503,0.09616207060425079,1.765514898395195,-0.15760541030025874,-2.9204295394494055
2295423,-22.92296,-43.3016,0.23809523809523808,21,-0.3834001616966296,-8.171351764503697,0.05898000466596393,1.1185987710717573,-0.01893974443861651,-0.31025635996064616
2296306,-22.90223,-43.27725,2.6666666666666665,21,-0.3798846134907248,-8.113822860887314,0.06767011024991747,1.2980028113393012,-0.04988288029216641,-0.8053273407379129
2296527,-22.84212,-43.27212,1.619047619047619,21,-0.377121283726507,-8.070149674755156,0.07314838496428301,1.428464100065053,-0.021778140029722743,-0.36648799043901703
